67	0.194029	0.820895	0.268656	0.746268	-0.447761	0.432835	-0.343283	0.328358
68	0.205882	0.808823	0.264705	0.735294	-0.42647	0.42647	-0.338235	0.338235
69	0.202898	0.797101	0.260869	0.73913	-0.449275	0.434782	-0.347826	0.333333
70	0.185714	0.814285	0.257142	0.728571	-0.442857	0.442857	-0.342857	0.342857
71	0.197183	0.802816	0.267605	0.732394	-0.450704	0.450704	-0.338028	0.338028
72	0.194444	0.791666	0.263888	0.736111	-0.430555	0.430555	-0.333333	0.319444
73	0.205479	0.808219	0.273972	0.739726	-0.424657	0.438356	-0.328767	0.328767
74	0.189189	0.81081	0.27027	0.743243	-0.432432	0.432432	-0.337837	0.337837
75	0.2	0.8	0.266666	0.733333	-0.439999	0.426666	-0.32	0.333333
76	0.210526	0.802631	0.276315	0.736842	-0.43421	0.43421	-0.328947	0.342105
77	0.194805	0.792207	0.25974	0.727272	-0.441558	0.428571	-0.337662	0.337662
78	0.205128	0.794871	0.25641	0.730769	-0.435897	0.423076	-0.333333	0.333333
79	0.202531	0.797468	0.265822	0.734177	-0.430379	0.430379	-0.329113	0.329113
80	0.2	0.8	0.2625	0.725	-0.4375	0.425	-0.337499	0.325
81	0.19753	0.790123	0.271604	0.728395	-0.432098	0.444444	-0.333333	0.333333
82	0.207317	0.792682	0.268292	0.731707	-0.426829	0.439024	-0.329268	0.329268
83	0.204819	0.79518	0.26506	0.734939	-0.421686	0.445783	-0.337349	0.337349
84	0.20238	0.797619	0.273809	0.738095	-0.428571	0.440476	-0.321428	0.333333
85	0.188235	0.8	0.258823	0.729411	-0.435294	0.435294	-0.329411	0.329411
86	0.197674	0.802325	0.267441	0.732558	-0.418604	0.418604	-0.325581	0.325581
87	0.206896	0.793103	0.275862	0.735632	-0.425287	0.413793	-0.333333	0.333333
88	0.204545	0.795454	0.272727	0.727272	-0.431818	0.431818	-0.318181	0.329545
89	0.202247	0.797752	0.269662	0.730337	-0.426966	0.426966	-0.325842	0.325842
90	0.2	0.788888	0.266666	0.733333	-0.444444	0.422222	-0.333333	0.322222
91	0.208791	0.791208	0.263736	0.725274	-0.428571	0.428571	-0.32967	0.32967
92	0.206521	0.793478	0.271739	0.72826	-0.413043	0.413043	-0.326086	0.326086
93	0.204301	0.795698	0.268817	0.731182	-0.430107	0.430107	-0.32258	0.333333
94	0.212765	0.797872	0.276595	0.734042	-0.414893	0.425531	-0.319148	0.319148
95	0.2	0.789473	0.263157	0.726315	-0.431578	0.421052	-0.326315	0.315789
96	0.197916	0.791666	0.270833	0.729166	-0.40625	0.416666	-0.322916	0.322916
97	0.206185	0.804123	0.268041	0.731958	-0.42268	0.42268	-0.319587	0.329896
98	0.204081	0.795918	0.27551	0.724489	-0.418367	0.428571	-0.32653	0.316326
99	0.20202	0.797979	0.272727	0.727272	-0.40404	0.424242	-0.323232	0.323232
